"samp_size","model","dim","num_bs_samples","nrm_typ","test_type","proc_type","xcor","rej_conf","ub","lb","min_pval","max_pval","rej_rate"
200,4,50,300,"l2","DE3JN","mag",0.5,"0.322 (0.3091, 0.3352)",0.3352,0.3091,0,1,0.322
200,4,50,300,"lp","DE3JN","mag",0.5,"0.3336 (0.3205, 0.3469)",0.3469,0.3205,0,1,0.3336
200,4,50,300,"max","DE3JN","mag",0.5,"0.2722 (0.2599, 0.2848)",0.2848,0.2599,0,1,0.2722
200,4,50,300,"ssq","DE3JN","mag",0.5,"0.3376 (0.3245, 0.3509)",0.3509,0.3245,0,1,0.3376
500,1,10,300,"bonf","DE3JN","mag",0.5,"0.0384 (0.0332, 0.0441)",0.0441,0.0332,8.60451320217059e-05,7.11085272119432,0.0384
500,1,10,300,"l2","DE3JN","mag",0.5,"0.0592 (0.0528, 0.0661)",0.0661,0.0528,0,1,0.0592
500,1,10,300,"lp","DE3JN","mag",0.5,"0.0578 (0.0515, 0.0646)",0.0646,0.0515,0,1,0.0578
500,1,10,300,"max","DE3JN","mag",0.5,"0.0588 (0.0524, 0.0657)",0.0657,0.0524,0,1,0.0588
500,1,10,300,"ssq","DE3JN","mag",0.5,"0.0591 (0.0527, 0.066)",0.066,0.0527,0,1,0.0591
500,1,100,300,"bonf","DE3JN","mag",0.5,"0.0242 (0.0201, 0.0288)",0.0288,0.0201,0.000448749079606792,17.5340642427796,0.0242
500,1,100,300,"l2","DE3JN","mag",0.5,"0.0512 (0.0453, 0.0577)",0.0577,0.0453,0,1,0.0512
500,1,100,300,"lp","DE3JN","mag",0.5,"0.0522 (0.0462, 0.0587)",0.0587,0.0462,0,1,0.0522
500,1,100,300,"max","DE3JN","mag",0.5,"0.0586 (0.0522, 0.0655)",0.0655,0.0522,0,1,0.0586
500,1,100,300,"ssq","DE3JN","mag",0.5,"0.0567 (0.0505, 0.0635)",0.0635,0.0505,0,1,0.0567
500,1,50,300,"bonf","DE3JN","mag",0.5,"0.0314 (0.0267, 0.0366)",0.0366,0.0267,3.9456639944202e-05,13.9755187981707,0.0314
500,1,50,300,"l2","DE3JN","mag",0.5,"0.0534 (0.0473, 0.06)",0.06,0.0473,0,1,0.0534
500,1,50,300,"lp","DE3JN","mag",0.5,"0.0576 (0.0513, 0.0644)",0.0644,0.0513,0,1,0.0576
500,1,50,300,"max","DE3JN","mag",0.5,"0.0606 (0.0541, 0.0676)",0.0676,0.0541,0,1,0.0606
500,1,50,300,"ssq","DE3JN","mag",0.5,"0.0587 (0.0523, 0.0656)",0.0656,0.0523,0,1,0.0587
500,2,10,300,"bonf","DE3JN","mag",0.5,"0.9964 (0.9943, 0.9979)",0.9979,0.9943,1.33226762955019e-14,0.355570431229206,0.9964
500,2,10,300,"l2","DE3JN","mag",0.5,"0.993 (0.9903, 0.9951)",0.9951,0.9903,0,0.332,0.993
500,2,10,300,"lp","DE3JN","mag",0.5,"0.9976 (0.9958, 0.9988)",0.9988,0.9958,0,0.2,0.9976
500,2,10,300,"max","DE3JN","mag",0.5,"0.9986 (0.9971, 0.9994)",0.9994,0.9971,0,0.168,0.9986
500,2,10,300,"ssq","DE3JN","mag",0.5,"0.997 (0.9951, 0.9983)",0.9983,0.9951,0,0.224,0.997
500,2,100,300,"bonf","DE3JN","mag",0.5,"0.9768 (0.9722, 0.9808)",0.9808,0.9722,7.54951656745106e-13,1.08759222002706,0.9768
500,2,100,300,"l2","DE3JN","mag",0.5,"0.9512 (0.9449, 0.957)",0.957,0.9449,0,0.832,0.9512
500,2,100,300,"lp","DE3JN","mag",0.5,"0.9848 (0.981, 0.988)",0.988,0.981,0,0.36,0.9848
500,2,100,300,"max","DE3JN","mag",0.5,"0.9918 (0.9889, 0.9941)",0.9941,0.9889,0,0.308,0.9918
500,2,100,300,"ssq","DE3JN","mag",0.5,"0.9886 (0.9852, 0.9913)",0.9913,0.9852,0,0.352,0.9886
500,2,50,300,"bonf","DE3JN","mag",0.5,"0.9862 (0.9826, 0.9892)",0.9892,0.9826,2.22044604925031e-14,1.11001708926732,0.9862
500,2,50,300,"l2","DE3JN","mag",0.5,"0.964 (0.9585, 0.969)",0.969,0.9585,0,0.804,0.964
500,2,50,300,"lp","DE3JN","mag",0.5,"0.9916 (0.9887, 0.9939)",0.9939,0.9887,0,0.812,0.9916
