samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
200,2,50,250,pbotlp,pearson,mag,0,"0.3585 (0.3452, 0.372)",0.372,0.3452,0,0.988,0.3585
200,2,50,250,lp,pearson,mag,0.5,"0.7149 (0.7022, 0.7274)",0.7274,0.7022,0,0.996,0.7149
200,2,50,250,lp,pearson,mag,0.8,"0.863 (0.8532, 0.8724)",0.8724,0.8532,0,0.96,0.863
200,2,50,250,lp,pearson,mag,0,"0.3077 (0.2949, 0.3206)",0.3206,0.2949,0,0.996,0.3077
200,3,10,250,bonf,pearson,mag,0.5,"0.8464 (0.8361, 0.8563)",0.8563,0.8361,0,3.2871742,0.8464
200,3,10,250,bonf,pearson,mag,0.8,"0.8492 (0.839, 0.859)",0.859,0.839,0,5.338706618,0.8492
200,3,10,250,bonf,pearson,mag,0,"0.8372 (0.8267, 0.8473)",0.8473,0.8267,1.83E-10,2.928869536,0.8372
200,3,10,250,pbotlp,pearson,mag,0.5,"0.8793 (0.87, 0.8882)",0.8882,0.87,0,0.836,0.8793
200,3,10,250,pbotlp,pearson,mag,0.8,"0.8937 (0.8849, 0.9021)",0.9021,0.8849,0,0.96,0.8937
200,3,10,250,pbotlp,pearson,mag,0,"0.9801 (0.9759, 0.9838)",0.9838,0.9759,0,0.752,0.9801
200,3,10,250,lp,pearson,mag,0.5,"0.851 (0.8409, 0.8608)",0.8608,0.8409,0,0.908,0.851
200,3,10,250,lp,pearson,mag,0.8,"0.8756 (0.8661, 0.8846)",0.8846,0.8661,0,0.948,0.8756
200,3,10,250,lp,pearson,mag,0,"0.973 (0.9681, 0.9773)",0.9773,0.9681,0,0.808,0.973
200,3,100,250,bonf,pearson,mag,0.5,"0.712 (0.6992, 0.7245)",0.7245,0.6992,3.55E-13,11.21839244,0.712
200,3,100,250,bonf,pearson,mag,0.8,"0.7752 (0.7634, 0.7867)",0.7867,0.7634,0,27.96498831,0.7752
200,3,100,250,bonf,pearson,mag,0,"0.5284 (0.5145, 0.5422)",0.5422,0.5145,1.58E-12,3.655037777,0.5284
200,3,100,250,pbotlp,pearson,mag,0.5,"0.7215 (0.7089, 0.7338)",0.7338,0.7089,0,0.908,0.7215
200,3,100,250,pbotlp,pearson,mag,0.8,"0.8784 (0.8691, 0.8873)",0.8873,0.8691,0,0.968,0.8784
200,3,100,250,pbotlp,pearson,mag,0,"0.5385 (0.5246, 0.5524)",0.5524,0.5246,0,0.924,0.5385
200,3,100,250,lp,pearson,mag,0.5,"0.6866 (0.6736, 0.6993)",0.6993,0.6736,0,1,0.6866
200,3,100,250,lp,pearson,mag,0.8,"0.86 (0.8501, 0.8695)",0.8695,0.8501,0,0.98,0.86
200,3,100,250,lp,pearson,mag,0,"0.4775 (0.4637, 0.4914)",0.4914,0.4637,0,1,0.4775
